fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_loefflerk,results_warnockr,results_collinsd,results_taylork,results_jacksond,results_graysond,results_jamesj,results_liebermanm,results_johnsonw,results_johnson_shealeyt,results_jacksona,results_sladej,results_winfieldr,results_slowinskib,results_buckleya,results_bartella,results_fortuinj,results_greenem,results_tarvere,results_stovallv,results_write_ins,results_absentee_loefflerk,results_absentee_warnockr,results_absentee_collinsd,results_absentee_taylork,results_absentee_jacksond,results_absentee_graysond,results_absentee_jamesj,results_absentee_liebermanm,results_absentee_johnsonw,results_absentee_johnson_shealeyt,results_absentee_jacksona,results_absentee_sladej,results_absentee_winfieldr,results_absentee_slowinskib,results_absentee_buckleya,results_absentee_bartella,results_absentee_fortuinj,results_absentee_greenem,results_absentee_tarvere,results_absentee_stovallv,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time,results_kellym,results_mcsallym,results_absentee_kellym,results_absentee_mcsallym
13021,Bibb,69940,52993,31,31,Released as a separate subtotal in the middle of the tabulation,99,70802,>98%,>98% reported,edison,10,unknown,,38674,,,14584,30896,10194,284,4902,420,1952,1582,416,1413,434,622,742,345,206,182,158,152,329,127,,10196,25257,7430,168,3587,243,1424,1161,267,1055,272,410,504,203,147,130,104,87,266,82,,2020-11-24T13:26:42Z,23.32285,D+23,Warnock +23,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13023,Bleckley,5613,4374,1,1,Merged into voters' home precincts and released with cumulative results,98,5706,98%,98% reported,edison,10,unknown,,4032,,,2133,876,1927,46,180,70,59,70,47,29,34,15,26,29,20,15,8,13,10,6,,1638,686,1564,35,131,46,42,52,31,23,25,10,22,18,14,12,5,8,9,3,,2020-11-24T13:26:42Z,3.67005,R+4,Loeffler +4,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13025,Brantley,7388,5340,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",95,7746,95%,95% reported,edison,10,unknown,,3280,,,2410,236,3128,304,163,289,37,131,227,36,188,19,13,47,49,34,21,25,17,14,,1769,187,2302,195,123,186,27,99,145,26,128,13,12,30,30,23,11,12,15,7,,2020-11-24T13:26:42Z,9.71846,R+10,Collins +10,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13027,Brooks,6835,4933,6,7,Released as a precinct as first report of the night,96,7100,96%,96% reported,edison,10,all,,5648,,,1953,1024,1750,104,684,153,194,259,71,211,85,76,42,31,28,27,18,20,92,13,,1290,897,1200,67,519,97,149,204,48,156,54,61,34,18,17,17,11,11,72,11,,2020-11-24T13:26:42Z,2.97001,R+3,Loeffler +3,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13029,Bryan,20884,17444,10,10,Released as a precinct in the middle of the night,98,21340,98%,98% reported,edison,10,unknown,,11968,,,7950,3941,4775,268,972,338,268,528,291,377,299,129,70,233,105,91,68,64,57,60,,6615,3498,3969,204,812,257,236,447,197,312,232,98,62,166,75,69,51,45,53,46,,2020-11-24T13:26:43Z,15.20303,R+15,Loeffler +15,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13031,Bulloch,29558,20417,16,16,Other,98,30084,98%,98% reported,edison,10,unknown,,19275,,,8944,6665,7854,363,1756,369,529,656,309,566,307,223,129,247,180,91,109,87,102,72,,5776,5341,5181,205,1333,207,380,491,147,394,155,154,94,135,111,55,72,51,88,47,,2020-11-24T13:26:43Z,3.68766,R+4,Loeffler +4,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13033,Burke,10465,7073,16,16,None,98,10684,98%,98% reported,edison,10,unknown,,6829,,,3018,3158,1916,68,782,91,225,221,100,173,71,95,54,48,33,18,19,14,344,17,,1937,2310,1282,36,499,50,151,135,46,113,39,54,34,27,20,12,13,7,294,14,,2020-11-24T13:26:43Z,1.33779,D+1.3,Warnock +1.3,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13035,Butts,11619,10421,1,1,Released as a precinct as first report of the night,99,11789,>98%,>98% reported,edison,10,unknown,,10779,,,4541,2207,3191,94,437,127,135,187,124,156,110,54,34,60,36,23,26,26,18,23,10,4143,1991,2890,84,371,101,109,152,98,140,84,43,30,48,30,17,22,20,17,21,10,2020-11-24T13:26:43Z,11.6189,R+12,Loeffler +12,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
13037,Calhoun,2156,1517,5,5,Merged into voters' home precincts and released with cumulative results,98,2194,98%,98% reported,edison,10,unknown,,1318,,,510,819,359,6,179,21,42,57,9,55,7,28,24,4,7,9,6,6,5,3,,361,599,253,3,119,14,29,41,4,40,3,16,16,1,3,7,3,0,4,1,,2020-11-24T13:26:43Z,14.3321,D+14,Warnock +14,democrat,georgia,2020-12-04T11:16:25.138358Z,,,,
13039,Camden,22917,18163,14,14,"As a precinct in the FIRST cumulative report, along with regular precincts",97,23688,97%,97% reported,edison,10,unknown,,14382,,,6631,2967,5913,420,1781,869,523,875,412,550,503,296,124,333,169,125,97,116,109,104,,5194,2623,4601,311,1528,639,413,732,295,428,349,231,105,212,114,82,63,79,88,76,,2020-11-24T13:26:43Z,3.13305,R+3,Loeffler +3,republican,georgia,2020-12-04T11:16:25.138358Z,,,,
